4654;canada/canadian-championship;canada-canadian-championship;Canadian Championship;CANADA: Canadian Championship;35
4615;canada/premier-league-fall-season;canada-premier-league-fall-season;Premier League, Fall Season;CANADA: Premier League, Fall Season;35
2258;canada/soccer-league-playoffs;canada-soccer-league-playoffs;Soccer League, Playoffs;CANADA: Soccer League, Playoffs;35
965;chile/primera-division;chile-primera-division;Primera Division;CHILE: Primera Division;40
3145;chile/primera-b;chile-primera-b;Primera B;CHILE: Primera B;40
50;china/super-league;china-super-league;Super League;CHINA: Super League;41
3132;chile/national-cup;chile-national-cup;National cup;CHILE: National cup;40
3509;china/supercup;china-supercup;Supercup;CHINA: Supercup;41
3146;china/league-1;china-league-1;League 1;CHINA: League 1;41
3358;china/fa-cup;china-fa-cup;FA Cup;CHINA: FA Cup;41
4426;china/league-2;china-league-2;League 2;CHINA: League 2;41
4621;colombia/torneo-aguila-clausura;colombia-torneo-aguila-clausura;Torneo Aguila, Clausura;COLOMBIA: Torneo Aguila, Clausura;43
4614;chinese-taipei/premier-league;chinese-taipei-premier-league;Premier League;CHINESE TAIPEI: Premier League;42
3310;colombia/supercup;colombia-supercup;Supercup;COLOMBIA: Supercup;43
3054;colombia/primera-b-apertura;colombia-primera-b-apertura;Primera B, Apertura;COLOMBIA: Primera B, Apertura;43
1047;colombia/apertura;colombia-apertura;Apertura;COLOMBIA: Apertura;43
1427;colombia/primera-division-final-stages;colombia-primera-division-final-stages;Primera Division, Final Stages;COLOMBIA: Primera Division, Final Stages;43
4589;colombia/primera-b-playoffs;colombia-primera-b-playoffs;Primera B, Playoffs;COLOMBIA: Primera B, Playoffs;43
1023;colombia/clausura;colombia-clausura;Clausura;COLOMBIA: Clausura;43
3065;colombia/national-cup;colombia-national-cup;National cup;COLOMBIA: National cup;43
4427;colombia/primera-b-clausura;colombia-primera-b-clausura;Primera B, Clausura;COLOMBIA: Primera B, Clausura;43
1045;costa-rica/apertura;costa-rica-apertura;Apertura;COSTA RICA: Apertura;47
1118;costa-rica/clausura;costa-rica-clausura;Clausura;COSTA RICA: Clausura;47
4471;cote-divore/ligue-1;cote-divore-ligue-1;Ligue 1;COTE DIVORE: Ligue 1;48
212;croatia/1-hnl;croatia-1-hnl;1 HNL;CROATIA: 1 HNL;49
2263;costa-rica/primera-division-final-stages;costa-rica-primera-division-final-stages;Primera Division, Final stages;COSTA RICA: Primera Division, Final stages;47
312;croatia/national-cup;croatia-national-cup;National cup;CROATIA: National cup;49
741;croatia/supercup;croatia-supercup;SuperCup;CROATIA: SuperCup;49
3147;croatia/2-hnl;croatia-2-hnl;2 HNL;CROATIA: 2 HNL;49
902;cyprus/1-division;cyprus-1-division;1. Division;CYPRUS: 1. Division;51
994;cyprus/national-cup;cyprus-national-cup;National Cup;CYPRUS: National Cup;51
2264;cyprus/1-division-championship-group;cyprus-1-division-championship-group;1. Division, Championship Group;CYPRUS: 1. Division, Championship Group;51
2266;cyprus/1-division-relegation-group;cyprus-1-division-relegation-group;1. Division, Relegation Group;CYPRUS: 1. Division, Relegation Group;51
1048;cyprus/supercup;cyprus-supercup;Supercup;CYPRUS: Supercup;51
3190;cyprus/2-division;cyprus-2-division;2. Division;CYPRUS: 2. Division;51
201;czech-republic/first-league;czech-republic-first-league;First League;CZECH REPUBLIC: First League;52
814;austria/national-cup;austria-national-cup;National cup;AUSTRIA: National cup;13
